Timepoint,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5
-61,NaN,NA,1,0,1
-60,NaN,NA,0,0,0
-59,NaN,NA,1,0,2
-58,NaN,NA,1,0,4
-57,NaN,NA,1,0,2
-56,NaN,NA,2,1,1
-55,NaN,NA,0,0,4
-54,NaN,NA,0,0,1
-53,NaN,NA,0,0,2
-52,NaN,NA,0,1,1
-51,NaN,NA,1,1,1
-50,NaN,NA,1,0,3
-49,NaN,NA,1,1,1
-48,NaN,NA,0,1,1
-47,NaN,NA,1,1,1
-46,NaN,NA,1,2,1
-45,NaN,NA,0,1,1
-44,NaN,NA,2,0,2
-43,NaN,NA,0,1,1
-42,NaN,NA,1,2,2
-41,NaN,NA,0,1,1
-40,NaN,NA,1,1,1
-39,NaN,NA,1,1,1
-38,NaN,NA,1,1,0
-37,NaN,NA,1,1,1
-36,NaN,NA,1,2,2
-35,NaN,NA,1,1,0
-34,NaN,NA,1,1,0
-33,NaN,NA,1,1,3
-32,NaN,0,1,1,2
-31,2,0,1,1,1
-30,0,0,2,0,0
-29,1,0,1,1,0
-28,0,0,1,1,1
-27,1,2,1,1,3
-26,1,2,1,1,1
-25,1,0,1,1,0
-24,1,0,1,1,0
-23,1,0,3,0,1
-22,0,2,1,2,0
-21,1,2,1,2,1
-20,1,2,1,0,2
-19,1,3,1,2,2
-18,1,2,1,1,0
-17,1,2,1,1,0
-16,2,2,2,1,1
-15,1,1,1,2,0
-14,1,1,0,2,1
-13,1,1,1,1,2
-12,2,1,2,2,0
-11,1,1,1,1,2
-10,1,1,1,1,0
-9,1,1,0,2,1
-8,1,1,0,1,0
-7,1,1,0,1,1
-6,1,1,1,1,0
-5,1,1,0,1,0
-4,1,1,0,1,1
-3,1,1,0,1,0
-2,1,1,0,1,0
-1,1,1,0,1,1
0,1,1,NaN,NaN,NaN
1,1,1,NaN,NaN,NaN
2,1,1,NaN,NaN,NaN
3,1,1,NaN,NaN,NaN
4,1,1,NaN,NaN,NaN
5,1,1,NaN,NaN,NaN
6,1,1,NaN,NaN,NaN
7,1,1,NaN,NaN,NaN
8,NaN,1,NaN,NaN,NaN
9,NaN,1,NaN,NaN,NaN
10,NaN,1,NaN,NaN,NaN
11,NaN,1,NaN,NaN,NaN